ITEM_CODE','START_DATE','END_DATE',AMOUNT',STATE'
'70044',6/4/2022,12/31/2099,25.65,PA
'70045',6/4/2022,12/31/2099,19.43,PA
'70045',1/15/2022,6/3/2022,15.06,PA
'70046',6/4/2022,12/31/2099,25.66,PA
'70046',5/6/2022,6/3/2022,22.66,PA
'70055',1/8/2022,12/31/2099,28.5,PA
'70058',3/26/2022,12/31/2099,16,PA
'70060',5/5/2022,12/31/2099,18.69,PA
'70061',5/5/2022,12/31/2099,18.69,PA
'70063',5/17/2022,12/31/2099,18.44,PA
'70064',1/15/2022,12/31/2099,28.92,PA
'70065',1/10/2020,12/31/2099,167.79,PA
'70066',5/17/2022,12/31/2099,14.38,PA
'70067',5/23/2022,12/31/2099,14.25,PA
'70068',5/5/2022,6/3/2022,13.07,PA
'70068',6/4/2022,12/31/2099,15.7,PA
'70069',5/1/2022,12/31/2099,19.31,PA
'70070',1/15/2022,12/31/2099,28.92,PA
'70071',5/5/2022,12/31/2099,22.91,PA
'70072',1/15/2022,12/31/2099,22.68,PA
'70073',5/5/2022,12/31/2099,14.24,PA
'70075',5/23/2022,12/31/2099,22.83,PA
'70076',5/5/2022,12/31/2099,17.09,PA
'70077',5/5/2022,12/31/2099,17.09,PA
'70078',6/18/2022,12/31/2099,27.46,PA
'70078',5/21/2022,6/17/2022,26.91,PA
'70079',5/23/2022,12/31/2099,34.09,PA
'70080',12/8/2021,12/31/2099,31.44,PA
'70083',1/15/2022,12/31/2099,28.56,PA
'70084',5/5/2022,12/31/2099,5.43,PA
'70085',5/23/2022,12/31/2099,34.09,PA
'70086',12/8/2021,6/3/2022,21.82,PA
'70086',6/4/2022,12/31/2099,24.67,PA
'70088',12/8/2021,6/3/2022,21.63,PA
'70088',6/4/2022,12/31/2099,25.15,PA
'70089',8/13/2022,12/31/2099,26.6,PA
'70089',12/10/2021,8/12/2022,28.2,PA
'70090',12/10/2021,8/12/2022,28.2,PA
'70090',8/13/2022,12/31/2099,26.6,PA
'70091',12/10/2021,12/31/2099,65.08,PA
'70092',5/14/2022,12/31/2099,43.15,PA
'70093',5/14/2022,12/31/2099,43.15,PA
'70094',5/14/2022,12/31/2099,28,PA
'70095',5/14/2022,12/31/2099,28,PA
'70096',8/13/2022,12/31/2099,34.8,PA
'70096',12/10/2021,8/12/2022,34.58,PA
'70097',12/10/2021,8/12/2022,34.58,PA
'70097',8/13/2022,12/31/2099,34.8,PA
'70098',2/19/2022,12/31/2099,33.94,PA
'70100',4/23/2022,12/31/2099,63.24,PA
'70101',4/23/2022,12/31/2099,63.24,PA
'70102',12/10/2021,12/31/2099,52.71,PA
'70103',5/14/2022,12/31/2099,38.78,PA
'70106',5/14/2022,12/31/2099,38.78,PA
'70107',1/10/2020,12/31/2099,84.59,PA
'70108',1/15/2022,12/31/2099,51.68,PA
'70109',1/10/2020,12/31/2099,94.79,PA
'70110',4/23/2022,12/31/2099,41.94,PA
'70113',1/8/2022,12/31/2099,174.52,PA
'70115',3/26/2022,12/31/2099,34.7,PA
'70116',12/9/2021,12/31/2099,43.33,PA
'70119',3/26/2022,12/31/2099,25.65,PA
'70121',12/29/2021,12/31/2099,8.76,PA
'70122',3/19/2022,12/31/2099,23.87,PA
'70123',4/23/2022,12/31/2099,63.24,PA
'70124',4/23/2022,12/31/2099,63.24,PA
'70126',4/23/2022,12/31/2099,63.24,PA
'70127',6/4/2022,12/31/2099,46.1,PA
'70127',5/19/2022,6/3/2022,42.23,PA
'70128',1/12/2022,12/31/2099,72.97,PA
'70131',1/12/2022,6/3/2022,72.97,PA
'70131',6/4/2022,12/31/2099,85.08,PA
'70132',6/4/2022,12/31/2099,46.1,PA
'70132',5/19/2022,6/3/2022,42.23,PA
'70133',5/9/2022,6/3/2022,25.45,PA
'70133',6/4/2022,12/31/2099,28.98,PA
'70134',5/19/2022,12/31/2099,42.23,PA
'70135',1/12/2022,6/3/2022,72.97,PA
'70135',6/4/2022,12/31/2099,85.08,PA
'70141',12/9/2021,6/3/2022,52.61,PA
'70141',6/4/2022,12/31/2099,60.5,PA
'70142',1/12/2022,6/3/2022,72.97,PA
'70142',6/4/2022,12/31/2099,85.08,PA
'70144',5/19/2022,6/3/2022,42.23,PA
'70144',6/4/2022,12/31/2099,46.1,PA
'70152',5/7/2022,12/31/2099,27.5,PA
'70153',5/7/2022,12/31/2099,27.5,PA
'70154',5/7/2022,12/31/2099,27.5,PA
'70157',5/7/2022,12/31/2099,27.5,PA
'70158',5/7/2022,12/31/2099,27.5,PA
'70184',5/7/2022,12/31/2099,51.34,PA
'70185',5/7/2022,12/31/2099,51.34,PA
'70187',5/7/2022,12/31/2099,51.34,PA
'70189',5/7/2022,12/31/2099,51.34,PA
'70191',2/12/2022,12/31/2099,31.08,PA
'70202',3/19/2022,5/27/2022,29.27,PA
'70202',5/28/2022,12/31/2099,29.51,PA
'70206',5/1/2022,12/31/2099,45.05,PA
'70217',6/4/2022,12/31/2099,87.26,PA
'70217',1/13/2022,6/3/2022,77.4,PA
'70218',1/11/2022,12/31/2099,9.35,PA
'70219',4/2/2022,12/31/2099,32.26,PA
'70220',1/11/2022,12/31/2099,13.5,PA
'70224',10/2/2021,12/31/2099,26.92,PA
'70225',1/11/2022,12/31/2099,26.87,PA
'70227',3/26/2022,12/31/2099,13.04,PA
'70228',6/4/2022,12/31/2099,76.36,PA
'70228',1/13/2022,6/3/2022,63.63,PA
'70229',5/5/2022,12/31/2099,14.95,PA
'70230',1/11/2022,6/3/2022,25.86,PA
'70230',6/4/2022,12/31/2099,29.57,PA
'70233',6/4/2022,12/31/2099,28.66,PA
'70233',1/13/2022,6/3/2022,26.5,PA
'70234',1/12/2022,12/31/2099,24.32,PA
'70237',9/25/2021,12/31/2099,39.6,PA
'70240',5/1/2022,12/31/2099,19.31,PA
'70241',6/4/2022,12/31/2099,80.7,PA
'70241',1/13/2022,6/3/2022,70.84,PA
'70242',6/4/2022,12/31/2099,28.66,PA
'70242',1/13/2022,6/3/2022,25.65,PA
'70243',5/1/2022,12/31/2099,19.31,PA
'70244',6/4/2022,12/31/2099,30.22,PA
'70244',1/13/2022,6/3/2022,25.74,PA
'70247',5/1/2022,12/31/2099,19.31,PA
'70248',6/4/2022,12/31/2099,30.22,PA
'70248',1/13/2022,6/3/2022,25.74,PA
'70249',1/11/2022,6/3/2022,30.48,PA
'70249',6/4/2022,12/31/2099,33.85,PA
'70250',5/21/2022,12/31/2099,252.18,PA
'70251',1/11/2022,12/31/2099,9.35,PA
'70252',5/5/2022,12/31/2099,14.95,PA
'70253',1/12/2022,12/31/2099,15,PA
'70254',5/5/2022,12/31/2099,14.95,PA
'70255',1/11/2022,6/3/2022,13.07,PA
'70255',6/4/2022,12/31/2099,15.7,PA
'70256',1/11/2022,6/3/2022,25.86,PA
'70256',6/4/2022,12/31/2099,29.59,PA
'70257',6/4/2022,12/31/2099,57.59,PA
'70257',2/19/2022,6/3/2022,76.68,PA
'70258',5/9/2022,6/3/2022,30.3,PA
'70258',6/4/2022,12/31/2099,46.1,PA
'70259',5/9/2022,6/3/2022,30.3,PA
'70259',6/4/2022,12/31/2099,46.1,PA
'70261',5/1/2022,12/31/2099,17.88,PA
'70262',6/4/2022,12/31/2099,29.59,PA
'70262',1/11/2022,6/3/2022,25.86,PA
'70264',1/10/2020,12/31/2099,20.45,PA
'70265',4/29/2022,12/31/2099,27.04,PA
'70267',1/12/2022,12/31/2099,24.32,PA
'70268',1/8/2022,12/31/2099,39.79,PA
'70269',6/4/2022,12/31/2099,80.7,PA
'70269',1/13/2022,6/3/2022,70.84,PA
'70270',1/8/2022,12/31/2099,39.79,PA
'70271',5/5/2022,12/31/2099,13.49,PA
'70272',1/11/2022,6/3/2022,25.86,PA
'70272',6/4/2022,12/31/2099,29.59,PA
'70273',6/4/2022,12/31/2099,35,PA
'70273',1/13/2022,6/3/2022,29.4,PA
'70274',1/10/2020,12/31/2099,12.99,PA
'70277',6/4/2022,12/31/2099,80.7,PA
'70277',1/13/2022,6/3/2022,70.84,PA
'70278',6/4/2022,12/31/2099,80.7,PA
'70278',1/13/2022,6/3/2022,70.84,PA
'70279',1/12/2022,6/3/2022,23.44,PA
'70279',6/4/2022,12/31/2099,25.78,PA
'70280',1/12/2022,6/3/2022,23.44,PA
'70280',6/4/2022,12/31/2099,25.78,PA
'70281',5/9/2022,12/31/2099,31.8,PA
'70285',6/4/2022,12/31/2099,35,PA
'70285',1/13/2022,6/3/2022,29.4,PA
'70286',6/4/2022,12/31/2099,89.09,PA
'70286',1/13/2022,6/3/2022,74.24,PA
'70287',1/12/2022,12/31/2099,19.31,PA
'70288',5/5/2022,12/31/2099,14.95,PA
'70289',1/11/2022,7/1/2022,13.07,PA
'70289',7/2/2022,12/31/2099,15.7,PA
'70290',6/4/2022,12/31/2099,29.94,PA
'70290',1/13/2022,6/3/2022,25.74,PA
'70292',6/4/2022,12/31/2099,29.59,PA
'70292',1/11/2022,6/3/2022,25.86,PA
